Date,Depth_m,Temp_degC,Dissolved Oxygen (% saturation),Chlorophyll_a_mg_m3,PO4-Phosphate_mg_m3,Silica_g_m3,Total Organic Nitrogen_g_m3
1993-01-06,1,5.1,89,1.1,1060,4.4,5.4
1993-01-06,3,5,89,,,,
1993-01-06,5,5,89,,,,
1993-01-06,7,5,89,1.2,,,
1993-01-06,9,5,89,,,,
1993-01-06,11,5,89,1,,,
1993-01-21,1,6.8,103,1.6,420,11.3,7.1
1993-01-21,3,6.8,103,,,,
1993-01-21,5,6.8,103,,,,
1993-01-21,7,6.8,103,2.5,,,
1993-01-21,9,6.8,103,,,,
1993-01-21,11,6.8,103,2.2,,,
1993-01-27,1,6.8,90,1.4,590,8.7,6.8
1993-01-27,3,6.8,90,,,,
1993-01-27,5,6.8,90,1.8,,,
1993-01-27,7,6.8,90,,,,
1993-01-27,9,6.8,90,,,,
1993-01-27,11,6.8,90,1.4,,,
1993-02-10,1,6.5,115,1.4,640,9.2,6.8
1993-02-10,3,6.5,113,,,,
1993-02-10,5,6.5,112,2.8,,,
1993-02-10,7,6.5,112,,,,
1993-02-10,9,6.5,111,,,,
1993-02-10,10,6.5,110,1.9,,,
1993-02-17,1,8.5,94,0.7,350,9.3,6.1
1993-02-17,3,8.5,94,,,,
1993-02-17,5,8.5,93,1,,,
1993-02-17,7,8.5,93,,,,
1993-02-17,9,8.5,93,,,,
1993-02-17,11,8.5,93,,,,
1993-02-17,13,8.5,93,1.3,,,
1993-03-03,1,5.4,93,3,630,11.6,5.9
1993-03-03,3,5.4,93,3.2,,,
1993-03-03,5,5.4,93,2.9,,,
1993-03-03,7,5.4,93,,,,
1993-03-03,9,5.4,93,,,,
1993-03-03,11,5.4,93,,,,
1993-03-16,1,6.7,110,9.2,450,11.1,7.1
1993-03-16,3,6.7,110,,,,
1993-03-16,5,6.7,110,10.8,,,
1993-03-16,7,6.7,110,,,,
1993-03-16,9,6.7,110,,,,
1993-03-16,11,6.7,110,8.7,,,
1993-03-29,1,8.1,109,12.4,540,9.4,8
1993-03-29,3,8.1,111,14.7,,,
1993-03-29,5,8.1,111,13.7,,,
1993-03-29,7,8.1,111,15.3,,,
1993-03-29,9,8.1,111,14.6,,,
1993-03-29,11,8.1,111,13.8,,,
1993-03-29,11.5,8.1,110,,,,
1993-04-07,1,8.6,98,9.9,440,8.6,7.9
1993-04-07,3,8.6,98,,,,
1993-04-07,5,8.6,98,11.5,,,
1993-04-07,7,8.6,98,,,,
1993-04-07,9,8.6,98,,,,
1993-04-07,11,8.6,98,12.7,,,
1993-04-14,1,9,94,63,430,8.7,8
1993-04-14,3,9,93,,,,
1993-04-14,5,9,92,9,,,
1993-04-14,7,9,92,,,,
1993-04-14,9,9,92,,,,
1993-04-14,11,8.9,92,12,,,
1993-04-22,1,11.3,102,10.2,510,6.4,6.5
1993-04-22,3,11.1,102,,,,
1993-04-22,5,11,100,8.8,,,
1993-04-22,7,11,100,,,,
1993-04-22,9,11,100,,,,
1993-04-22,11,10.9,98,8,,,
1993-04-28,1,11.2,90,2.1,530,9.1,8
1993-04-28,3,11,87,,,,
1993-04-28,5,11,86,1.7,,,
1993-04-28,7,10.9,83,,,,
1993-04-28,9,10.9,83,,,,
1993-04-28,10,10.9,82,2.1,,,
1993-05-06,1,12.3,96,3.1,1000,8,6
1993-05-06,3,12.2,95,2.7,,,
1993-05-06,5,12,92,1.5,,,
1993-05-06,7,11.9,90,5.3,,,
1993-05-06,9,11.7,86,4.9,,,
1993-05-06,11,11.3,83,3.8,,,
,,,,,,,
1993-05-13,1,13.1,103,12.4,500,4.8,6.2
1993-05-13,3,13,100,,,,
1993-05-13,5,13,100,,,,
1993-05-13,7,12.9,98,15.2,,,
1993-05-13,9,12.8,97,,,,
1993-05-13,11,12.8,93,13.1,,,
,,,,,,,
1993-05-21,1,13.3,118,24.1,480,1,6.3
1993-05-21,3,13.3,118,22.9,,,
1993-05-21,5,13.3,118,26,,,
1993-05-21,7,13.3,118,,,,
1993-05-21,9,13.3,118,14.3,,,
1993-05-21,11,12.9,117,30.6,,,
,,,,,,,
1993-05-26,1,14.3,107,8.2,480,1,6
1993-05-26,3,14.3,106,,,,
1993-05-26,5,14.3,105,,,,
1993-05-26,7,14.3,103,6.6,,,
1993-05-26,9,14.3,102,,,,
1993-05-26,11,14.3,100,11.6,,,
,,,,,,,
1993-06-04,1,16.2,99,7.7,,,
1993-06-04,3,15.5,93,,,,
1993-06-04,5,15.1,93,,,,
1993-06-04,7,14.9,92,6.2,,,
1993-06-04,9,14.8,92,,,,
1993-06-04,11,14.7,91,4,,,
,,,,,,,
1993-06-10,1,20.1,114,5.8,490,1,6.1
1993-06-10,3,19.8,119,6.3,,,
1993-06-10,5,16.4,121,4,,,
1993-06-10,7,14.9,110,4,,,
1993-06-10,9,14.4,106,1.7,,,
1993-06-10,11,14.2,100,2.6,,,
,,,,,,,
1993-06-17,1,17.5,95,3,510,1,5.5
1993-06-17,3,17.4,95,4.2,,,
1993-06-17,5,17.4,95,3.1,,,
1993-06-17,7,15.2,80,3.8,,,
1993-06-17,9,14.4,72,2,,,
1993-06-17,11,14.2,70,3.3,,,
,,,,,,,
1993-06-23,1,17.3,110,5.8,490,1.2,6
1993-06-23,3,17,11,5.9,,,
1993-06-23,5,16.6,91,3.5,,,
1993-06-23,7,16,75,6,,,
1993-06-23,9,14.8,61,3.4,,,
1993-06-23,11,14.2,55,2.4,,,
,,,,,,,
1993-07-01,1,18.9,145,20.5,450,2.4,4.7
1993-07-01,2,18.5,138,,,,
1993-07-01,3,18.4,138,17,,,
1993-07-01,4,18.4,138,,,,
1993-07-01,5,18.3,136,12.2,470,2.3,5
1993-07-01,6,18.2,130,,,,
1993-07-01,7,17.9,126,11.4,,,
1993-07-01,8,17.1,90,,,,
1993-07-01,9,16.7,77,5.7,,,
1993-07-01,10,15.4,60,3.8,500,3.4,5
,,,,,,,
1993-07-08,1,20.2,124,20.9,440,2.5,6.3
1993-07-08,2,20.2,123,,,,
1993-07-08,3,20,122,20.7,,,
1993-07-08,4,20,121,,,,
1993-07-08,5,20,121,21.4,,,
1993-07-08,6,20,120,,,,
1993-07-08,7,19.7,115,21,,,
1993-07-08,8,19.6,106,,,,
1993-07-08,9,19.3,90,15.5,,,
1993-07-08,10,17.9,80,,,,
1993-07-08,11,15.2,45,18.4,530,2.7,6.4
,,,,,,,
1993-07-14,1,18.5,98,13.2,490,4,6.3
1993-07-14,3,18.5,97,9,,,
1993-07-14,5,18.5,97,8.7,500,3.5,6.3
1993-07-14,7,18.5,95,9,,,
1993-07-14,9,18.5,95,7.1,,,
1993-07-14,11,18.4,95,6.9,510,3.5,6.2
,,,,,,,
1993-07-22,1,19.05,105,16.4,610,5.2,6.1
1993-07-22,3,18.77,101,20,,,
1993-07-22,5,18.73,96,17.4,380,5.2,6.3
1993-07-22,7,18.69,95,13.4,,,
1993-07-22,9,18.67,94,12.2,,,
1993-07-22,11,18.64,93,12.2,,,
1993-07-22,11.5,18.56,93,,390,5.3,6.1
,,,,,,,
1993-07-28,1,17.8,93,20.8,700,6.4,6.2
1993-07-28,3,17.8,91,23.6,,,
1993-07-28,5,17.8,91,23.6,720,6.6,6.1
1993-07-28,7,17.8,91,22.8,,,
1993-07-28,9,17.8,91,23.1,,,
1993-07-28,11,17.8,91,18.3,,,
1993-07-28,11.5,17.8,91,23.7,680,6.5,5.9
,,,,,,,
1993-08-02,1,18.33,114,31,650,6.4,5.8
1993-08-02,3,18.3,114,32.4,,,
1993-08-02,5,18.27,114,20.9,650,6.4,6.2
1993-08-02,7,18.15,105,20.2,,,
1993-08-02,9,17.78,90,9.2,,,
1993-08-02,11,17.65,80,8.8,690,6.8,6.3
1993-08-02,12,17.63,80,,,,
,,,,,,,
1993-08-11,1,17.9,122,47,720,6,6.3
1993-08-11,3,17.9,122,51.2,720,6,6.3
1993-08-11,5,17.9,122,55.2,,,
1993-08-11,7,17.9,122,50.9,,,
1993-08-11,9,17.9,122,59,,,
1993-08-11,11,17.9,122,44,,,
,,,,,,,
1993-08-19,1,19.65,200,85.5,670,1.8,5.2
1993-08-19,3,18.56,152,94.7,,,
1993-08-19,5,18.32,140,72.2,710,2.6,5.4
1993-08-19,7,17.68,105,26.2,,,
1993-08-19,9,17.57,95,25.1,,,
1993-08-19,11,17.49,91,21.5,200,1,1
,,,,,,,
1993-08-26,1,17.4,124,42.5,690,2.1,5.4
1993-08-26,3,17.4,124,,,,
1993-08-26,5,17.4,116,38.3,,,
1993-08-26,7,17.4,115,,,,
1993-08-26,9,17.3,114,,,,
1993-08-26,11,17.3,114,38.3,630,2.2,5.2
,,,,,,,
1993-09-01,1,17.4,132,31,700,2.2,5.2
1993-09-01,3,17.3,131,,,,
1993-09-01,5,17.1,128,33,,,
1993-09-01,7,17,116,,,,
1993-09-01,9,16.9,108,,,,
1993-09-01,11,16.8,105,31,,,
,,,,,,,
1993-09-08,1,16.78,128,37.9,740,3.3,5.1
1993-09-08,3,16.78,112,49.8,,,
1993-09-08,5,16.78,111,52,,,
1993-09-08,7,16.75,110,48.9,,,
1993-09-08,9,16.72,109,43,,,
1993-09-08,10,16.48,97,26.5,760,3.8,5.1
,,,,,,,
1993-09-15,1,15.8,96,22.4,720,4.1,4.8
1993-09-15,3,15.8,94,,,,
1993-09-15,5,15.8,93,18.4,,,
1993-09-15,7,15.8,93,,,,
1993-09-15,9,15.8,93,,,,
1993-09-15,11,15.8,93,35.8,,,
,,,,,,,
1993-09-22,1,15.6,117,19.2,760,5,4.8
1993-09-22,3,15.5,109,19.9,,,
1993-09-22,5,15.5,104,15.5,,,
1993-09-22,7,15.5,103,17.4,,,
1993-09-22,9,15.5,103,17,,,
,,,,,,,
1993-09-28,1,14.7,93,15.9,670,5.4,4.8
1993-09-28,3,14.7,93,,,,
1993-09-28,5,14.7,93,17.5,,,
1993-09-28,7,14.7,92,,,,
1993-09-28,9,14.7,92,,,,
1993-09-28,10,14.7,92,19.9,,,
,,,,,,,
1993-10-07,1,13.8,93,30,770,6.7,4.8
1993-10-07,3,13.8,93,,,,
1993-10-07,5,13.8,89,29.4,,,
1993-10-07,7,13.8,89,,,,
1993-10-07,9,13.8,89,,,,
1993-10-07,11,13.8,93,24.4,,,
,,,,,,,
1993-10-14,1,13.5,89,9.3,790,6.5,4.6
1993-10-14,3,13.5,85,,,,
1993-10-14,5,13.5,85,12.1,,,
1993-10-14,7,13.5,85,,,,
1993-10-14,9,13.5,85,,,,
1993-10-14,11,13.5,85,11,,,
,,,,,,,
1993-10-26,1,10.5,99,16.3,770,7.7,4.7
1993-10-26,3,10.5,97,,,,
1993-10-26,5,10.5,96,20.6,,,
1993-10-26,7,10.5,94,,,,
1993-10-26,9,10.5,94,,,,
1993-10-26,11,10.5,94,22.7,,,
,,,,,,,
1993-11-03,1,9.9,88,14.7,750,7.6,4.3
1993-11-03,3,9.9,88,,,,
1993-11-03,5,9.9,87,13.2,,,
1993-11-03,7,9.9,87,,,,
1993-11-03,9,9.9,87,,,,
1993-11-03,11,9.9,85,13.6,,,
,,,,,,,
1993-11-24,1,7,90,5.6,1020,8.9,3.9
1993-11-24,3,7,90,,,,
1993-11-24,5,7,90,6.9,,,
1993-11-24,7,7,90,,,,
1993-11-24,9,7,90,,,,
1993-11-24,11,7,90,6.3,,,
,,,,,,,
1993-11-30,1,6.2,88,7.4,840,8.6,4
1993-11-30,3,6.2,88,,,,
1993-11-30,5,6.2,87,15.1,,,
1993-11-30,7,6.2,87,,,,
1993-11-30,9,6.2,87,,,,
1993-11-30,11,6.2,85,10.9,,,
,,,,,,,
1993-12-14,1,5.7,99,10.5,750,8.7,4
1993-12-14,3,6.2,99,,,,
1993-12-14,5,6.2,88,13.1,,,
1993-12-14,7,6.1,88,,,,
1993-12-14,9,6.1,87,,,,
1993-12-14,11,6.1,87,,,,
1993-12-14,13,6.1,87,11.6,,,
